judul,kategori,date,source
"Jenazah Lina Diotopsi, Sule: Supaya Tidak Salah Paham",Seleb,"09/01/2020, 19:51 WIB",kompas.com
"Bangun Chemistry dengan Tora Sudiro, Gary Iskak: Kami Cela-celaan...",Film,"09/01/2020, 19:39 WIB",kompas.com
"Marcell Darwin: Gue Sudah Nikah, Ah Lega!",Seleb,"12/01/2020, 22:06 WIB",kompas.com
Sule Akan Menikah Lagi pada April 2020,Seleb,"15/01/2020, 22:27 WIB",kompas.com
Jenita Janet Janji Tuntaskan Pekerjaan meski Diterpa Perceraian,Seleb,"09/01/2020, 19:22 WIB",kompas.com
Adhisty Zara Sebut Ada Oknum Tak Bertanggung Jawab Mengatasnamakan Manajemennya,Seleb,"09/01/2020, 19:15 WIB",kompas.com
"Tora Sudiro: Alexandra Gottardo Mudah untuk Dicintai, Cakep Banget...",Film,"09/01/2020, 19:14 WIB",kompas.com
"Mengaku Bahagia, Jenita Janet Tetap Ingin Bercerai",Seleb,"09/01/2020, 19:13 WIB",kompas.com
"IndoXXI Diblokir, Sheila Timothy: Ini Pelajaran Hargai Karya Orang Lain",Film,"09/01/2020, 19:12 WIB",kompas.com
"Karena Bakteri, Anak dan Istri Hanung Bramantyo Dirawat di Rumah Sakit",Seleb,"12/01/2020, 21:59 WIB",kompas.com
"Sebelum Meninggal, Ria Irawan Minta Mayky Wongkar Cari Istri Baru",Seleb,"12/01/2020, 21:35 WIB",kompas.com
"Tak Merasa Tertuduh, Tedy Tidak Akan Melaporkan Balik Rizky Febian",Seleb,"12/01/2020, 21:05 WIB",kompas.com
Mayky Wongkar: Saya dengan Ria Irawan Selalu Bahagia,Seleb,"12/01/2020, 20:40 WIB",kompas.com
Tedy Akan Tetap Merawat Anaknya meski Sule dan Rizky Febian Ingin Mengasuh,Seleb,"12/01/2020, 20:15 WIB",kompas.com
Mayky Wongkar Lepas Rindu ke Ria Irawan Lewat Sebuah Foto,Seleb,"12/01/2020, 19:08 WIB",kompas.com
"Merasa Jadi Korban MeMiles, Ello Melapor ke Polda Metro Jaya",Seleb,"15/01/2020, 22:08 WIB",kompas.com
